Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
1.191000,4998.809183,2998.809183,101.190817,101.190817,397
1.194000,4998.806183,2998.806183,101.193817,101.193817,398
1.197000,4998.803184,2998.803184,101.196816,101.196816,399
1.200000,4998.800184,2998.800184,101.199816,101.199816,400
1.203000,4998.797184,2998.797184,101.202816,101.202816,401
1.206000,4998.794185,2998.794185,101.205815,101.205815,402
1.209000,4998.791185,2998.791185,101.208815,101.208815,403
1.212000,4998.788186,2998.788186,101.211814,101.211814,404
1.215000,4998.785186,2998.785186,101.214814,101.214814,405
1.218000,4998.782187,2998.782187,101.217813,101.217813,406
1.221000,4998.779187,2998.779187,101.220813,101.220813,407
1.224000,4998.776188,2998.776188,101.223812,101.223812,408
1.227000,4998.773188,2998.773188,101.226812,101.226812,409
1.230000,4998.770189,2998.770189,101.229811,101.229811,410
1.233000,4998.767189,2998.767189,101.232811,101.232811,411
1.236000,4998.764190,2998.764190,101.235810,101.235810,412
1.239000,4998.761190,2998.761190,101.238810,101.238810,413
1.242000,4998.758190,2998.758190,101.241810,101.241810,414
1.245000,4998.755191,2998.755191,101.244809,101.244809,415
1.248000,4998.752191,2998.752191,101.247809,101.247809,416
1.251000,4998.749192,2998.749192,101.250808,101.250808,417
1.254000,4998.746192,2998.746192,101.253808,101.253808,418
1.257000,4998.743193,2998.743193,101.256807,101.256807,419
1.260000,4998.740193,2998.740193,101.259807,101.259807,420
1.263000,4998.737194,2998.737194,101.262806,101.262806,421
1.266000,4998.734194,2998.734194,101.265806,101.265806,422
1.269000,4998.731195,2998.731195,101.268805,101.268805,423
1.272000,4998.728195,2998.728195,101.271805,101.271805,424
1.275000,4998.725196,2998.725196,101.274804,101.274804,425
1.278000,4998.722196,2998.722196,101.277804,101.277804,426
1.281000,4998.719196,2998.719196,101.280804,101.280804,427
1.284000,4998.716197,2998.716197,101.283803,101.283803,428
1.287000,4998.713197,2998.713197,101.286803,101.286803,429
1.290000,4998.710198,2998.710198,101.289802,101.289802,430
1.293000,4998.707198,2998.707198,101.292802,101.292802,431
1.296000,4998.704199,2998.704199,101.295801,101.295801,432
1.299000,4998.701199,2998.701199,101.298801,101.298801,433
1.302000,4998.698200,2998.698200,101.301800,101.301800,434
1.305000,4998.695200,2998.695200,101.304800,101.304800,435
1.308000,4998.692201,2998.692201,101.307799,101.307799,436
1.311000,4998.689201,2998.689201,101.310799,101.310799,437
1.314000,4998.686201,2998.686201,101.313799,101.313799,438
1.317000,4998.683202,2998.683202,101.316798,101.316798,439
